Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-11-19,10:15,43.0,42.9,99.8,0.0,N@6.6,8.9,0.09,267,44.2,42.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,10:30,42.8,42.8,99.8,0.0,N@6.7,10.7,0.01,187,44.3,42.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,10:45,43.2,43.2,99.9,0.0,N@5.7,8.9,0.0,102,44.3,42.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,11:00,44.2,44.2,99.8,0.0,N@7.5,11.4,0.0,226,44.4,43.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,11:15,46.0,45.9,99.7,0.0,N@7.5,12.4,0.0,366,44.4,45.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,11:30,46.8,46.3,98.2,0.0,N@6.0,10.7,0.0,326,44.5,46.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,11:45,47.5,46.5,96.3,0.0,N@5.6,8.9,0.0,163,44.6,47.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,12:00,48.9,47.4,94.5,0.0,NW@5.5,7.8,0.0,296,44.7,48.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,12:15,51.7,46.4,81.9,0.0,NW@6.4,9.6,0.0,340,44.8,51.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,12:30,51.3,44.6,77.8,0.0,NW@6.1,9.6,0.0,204,44.9,51.0,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,12:45,50.9,44.3,77.8,0.0,NW@5.7,8.9,0.0,181,45.0,50.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,13:00,51.6,45.7,80.0,0.0,NW@5.0,8.5,0.0,346,45.1,51.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,13:15,51.9,46.0,80.1,0.0,NW@6.0,11.0,0.0,341,45.2,51.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,13:30,50.9,45.6,82.1,0.0,NW@5.5,8.2,0.0,171,45.3,50.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,13:45,49.9,45.2,83.8,0.0,NW@5.3,7.8,0.0,114,45.5,49.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,14:00,50.9,45.3,81.1,0.0,NW@4.7,6.7,0.0,255,45.6,50.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,14:15,52.6,43.4,70.8,0.0,NW@5.1,8.2,0.0,306,45.7,52.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,14:30,52.9,42.5,67.8,0.0,NW@5.4,8.2,0.0,258,45.8,52.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,14:45,52.7,42.3,67.6,0.0,N@4.8,7.4,0.0,195,45.9,52.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,15:00,52.4,42.7,69.3,0.0,NW@3.7,6.0,0.0,163,46.0,52.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,15:15,51.1,44.1,76.8,0.0,W@4.0,6.4,0.0,133,46.0,50.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,15:30,50.4,44.2,79.1,0.0,W@4.0,6.7,0.0,105,46.1,50.0,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,15:45,49.7,44.4,81.6,0.0,W@2.9,4.6,0.0,76,46.2,49.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,16:00,48.9,44.3,83.9,0.0,W@2.9,3.9,0.0,38,46.2,48.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,16:15,48.0,44.0,85.9,0.0,NW@2.4,4.2,0.0,12,46.2,47.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,16:30,47.2,43.8,87.9,0.0,NW@3.1,4.2,0.0,5,46.2,46.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,16:45,46.6,43.7,89.5,0.0,NW@4.2,6.4,0.0,1,46.2,46.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,17:00,47.4,43.0,84.6,0.0,NW@5.5,7.4,0.0,0,46.2,47.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,17:15,46.7,42.3,84.5,0.0,NW@5.3,7.1,0.0,0,46.2,46.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,17:30,45.9,41.7,85.2,0.0,NW@4.1,5.7,0.0,0,46.2,45.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,17:45,44.7,41.4,87.8,0.0,NW@3.4,4.9,0.0,0,46.1,44.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,18:00,43.9,40.9,89.0,0.0,NW@4.6,7.4,0.0,0,46.1,43.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,18:15,44.5,40.8,86.8,0.0,NW@5.2,8.2,0.0,0,46.0,44.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
