Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2015-10-29,15:00,59.2,55.9,88.9,0.0,142,30.01,E,4.3,10.3,0.37,57.5,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,15:15,59.8,55.8,86.5,0.0,125,30.01,E,3.2,9.6,0.03,57.5,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,15:30,60.0,55.3,84.3,0.0,104,30.02,E,4.2,10.3,0.0,57.5,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,15:45,59.5,55.6,86.7,0.0,65,30.01,E,4.0,8.9,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,16:00,58.5,55.8,90.9,0.0,38,30.01,E,4.5,10.7,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,16:15,58.4,55.9,91.1,0.0,30,30.01,E,3.7,7.1,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,16:30,58.7,55.9,90.3,0.0,22,30.02,E,3.8,8.5,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,16:45,59.1,55.6,88.2,0.0,21,30.02,E,4.6,8.9,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,17:00,58.7,56.0,90.7,0.0,16,30.01,E,3.7,6.7,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,17:15,58.8,55.6,89.1,0.0,10,30.01,E,3.0,5.3,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,17:30,58.9,55.2,87.3,0.0,8,30.02,NE,1.8,4.6,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,17:45,59.0,54.6,85.3,0.0,3,30.02,SE,2.6,7.4,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,18:00,59.1,54.1,83.4,0.0,1,30.01,SE,2.6,6.0,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,18:15,59.2,53.7,81.9,0.0,0,30.01,SE,2.6,7.8,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,18:30,58.9,53.7,82.9,0.0,0,30.01,SE,1.8,6.4,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,18:45,58.7,53.5,82.6,0.0,0,30.01,SE,1.1,6.0,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,19:00,58.5,53.2,82.6,0.0,0,30.0,E,2.1,4.9,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,19:15,58.2,53.0,82.8,0.0,0,30.01,SE,2.0,5.7,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,19:30,58.1,52.9,82.6,0.0,0,30.01,SE,2.1,5.3,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,19:45,57.5,53.6,86.7,0.0,0,30.01,E,0.9,3.9,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,20:00,56.9,53.9,89.7,0.0,0,30.01,E,0.7,3.5,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,20:15,57.3,53.5,87.2,0.0,0,30.02,E,1.2,4.2,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,20:30,57.3,53.5,87.0,0.0,0,30.02,NE,0.8,3.1,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,20:45,56.7,53.6,89.0,0.0,0,30.02,E,0.8,4.2,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,21:00,56.5,53.4,89.2,0.0,0,30.02,NE,1.2,3.5,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,21:15,56.8,53.1,87.3,0.0,0,30.01,E,2.1,6.4,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,21:30,56.6,53.0,87.5,0.0,0,30.0,E,0.7,3.5,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,21:45,56.6,53.0,87.8,0.0,0,30.0,E,2.0,5.3,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,22:00,56.5,52.9,87.6,0.0,0,30.0,E,2.3,4.6,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,22:15,56.7,52.8,86.9,0.0,0,30.0,E,3.0,6.4,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,22:30,56.5,52.8,87.1,0.0,0,29.99,E,2.7,6.0,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,22:45,56.3,52.8,87.9,0.0,0,29.99,E,2.1,6.4,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,23:00,56.4,52.8,87.8,0.0,0,29.98,E,3.0,6.7,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,23:15,56.5,52.8,87.4,0.0,0,29.97,E,3.9,7.8,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,23:30,56.6,53.0,87.7,0.0,0,29.97,E,3.9,8.5,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,23:45,56.4,53.2,88.9,0.0,0,29.96,E,3.4,8.5,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,24:00,56.0,52.7,88.4,0.0,0,29.96,E,3.1,8.2,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,00:15,55.8,52.7,89.2,0.0,0,29.95,E,2.7,6.4,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,00:30,55.8,52.8,89.6,0.0,0,29.95,E,3.1,7.4,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,00:45,55.7,53.1,90.7,0.0,0,29.95,E,2.9,6.7,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,01:00,56.0,53.4,90.8,0.0,0,29.95,E,3.5,6.7,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,01:15,56.0,53.6,91.4,0.0,0,29.95,E,2.9,6.0,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,01:30,56.0,53.7,92.2,0.0,0,29.93,E,2.8,5.3,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,01:45,56.4,53.8,90.7,0.0,0,29.93,E,3.0,8.2,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,02:00,56.5,53.7,90.3,0.0,0,29.92,E,2.8,6.7,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,02:15,56.5,54.1,91.6,0.0,0,29.92,E,3.3,7.1,0.26,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,02:30,56.2,54.4,93.5,0.02,0,29.91,E,3.7,7.1,0.76,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,02:45,55.9,54.4,94.7,0.01,0,29.9,E,3.6,6.7,0.78,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,03:00,55.8,54.7,95.7,0.01,0,29.89,E,4.1,8.2,0.75,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,03:15,56.0,54.8,95.8,0.0,0,29.87,E,4.5,10.3,0.74,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,03:30,55.9,54.7,95.7,0.0,0,29.86,E,4.0,8.5,0.73,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,03:45,55.8,54.4,94.9,0.01,0,29.85,E,4.6,9.2,0.74,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,04:00,55.7,54.2,94.6,0.0,0,29.85,E,4.3,8.5,0.75,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,04:15,55.5,53.9,94.0,0.01,0,29.82,E,5.0,9.9,0.74,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,04:30,55.5,54.0,94.4,0.0,0,29.8,E,4.5,8.5,0.74,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,04:45,55.4,53.7,93.8,0.0,0,29.78,E,6.1,12.4,0.73,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,05:00,55.2,53.7,94.5,0.01,0,29.77,E,6.3,12.1,0.74,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,05:15,54.9,53.4,94.7,0.01,0,29.76,E,6.7,14.2,0.73,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,05:30,54.9,53.3,93.9,0.01,0,29.74,E,7.4,14.6,0.71,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,05:45,55.0,52.7,91.8,0.0,0,29.73,E,7.1,14.6,0.7,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,06:00,55.0,52.3,90.2,0.0,0,29.73,E,5.3,11.0,0.68,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,06:15,54.7,52.5,92.2,0.01,0,29.72,E,5.9,12.4,0.72,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,06:30,54.1,52.7,94.7,0.01,0,29.71,E,4.8,9.9,0.72,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,06:45,53.8,52.7,96.2,0.02,0,29.7,E,4.0,8.9,0.71,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,07:00,53.6,53.1,97.9,0.02,0,29.69,E,3.1,9.6,0.7,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,07:15,53.8,53.4,98.6,0.02,0,29.68,E,3.9,8.5,0.71,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,07:30,54.0,53.8,99.1,0.02,0,29.66,E,3.7,8.2,0.7,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,07:45,55.2,54.8,98.4,0.0,0,29.65,E,4.5,8.5,0.72,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,08:00,56.7,55.8,96.7,0.01,0,29.65,E,4.7,12.4,0.71,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,08:15,57.5,56.2,95.2,0.0,4,29.65,E,4.6,11.4,0.71,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,08:30,58.0,56.6,94.9,0.0,7,29.63,E,5.7,15.3,0.76,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,08:45,58.5,56.9,94.3,0.0,15,29.63,E,5.6,13.2,0.73,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,09:00,59.2,57.2,92.9,0.0,30,29.63,E,5.5,12.8,0.67,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,09:15,59.8,57.4,91.8,0.0,47,29.63,E,5.1,12.1,0.62,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,09:30,60.6,57.6,89.8,0.0,77,29.63,E,5.8,21.4,0.46,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
