Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2020-09-15,18:30,64.4,37.8,37.3,0.0,1,30.08,N ,4.5,4.9,0.0,73.0,67.7,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,18:45,65.2,37.9,36.4,0.0,0,30.07,N ,3.4,4.2,0.0,72.7,67.8,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,19:00,62.9,37.4,38.7,0.0,0,30.08,NE,2.0,3.1,0.0,72.4,67.9,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,19:15,62.6,37.9,39.9,0.0,0,30.08,NE,3.8,4.6,0.0,72.1,67.9,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,19:30,60.4,37.5,42.4,0.0,0,30.08,NE,4.8,5.3,0.0,71.8,68.0,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,19:45,58.0,36.5,44.5,0.0,0,30.08,NE,4.4,5.3,0.0,71.5,68.0,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,20:00,55.4,35.7,47.3,0.0,0,30.08,NE,4.5,5.7,0.0,71.2,68.1,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,20:15,54.6,35.6,48.4,0.0,0,30.09,NE,4.7,5.3,0.0,70.9,68.1,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,20:30,54.3,35.3,48.4,0.0,1,30.08,NE,4.6,4.9,0.0,70.6,68.1,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,20:45,54.5,35.5,48.6,0.0,0,30.08,NE,4.6,5.3,0.0,70.2,68.2,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,21:00,53.4,35.0,49.5,0.0,0,30.09,NE,4.1,4.6,0.0,69.9,68.2,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
