Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 Provisional,Download Timestamp
Australia,"Crude,NGL and feedstocks","Oil refineries, transformation (ktoe)",01. Australia,"02. Crude,NGL and feedstocks","08. Oil refineries, transformation (ktoe)",-24511.735,-24390.581,-27765.394,-27705.216,-28295.523,-28850.742,-30498.854,-30372.488,-31066.574,-30251.195,-28539.201,-29478.821,-27784.321,-28184.309,-28080.199,-27811.174,-27815.828,-28970.942,-30407.157,-30675.711,-31454.898,-32681.35,-33710.349,-34129.511,-34704.09,-36405.771,-37426.1,-38620.35,-37652.688,-37538.237,-36169.4,-37514.484,-37592.114,-35547.312,-34075.219,-32349.853,-33440.483,-32561.776,-32820.219,-32016.978,-33747.378,-32895.178,-31418.384,-29518.275,-25510.777,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Total final consumption (ktoe),01. Australia,"02. Crude,NGL and feedstocks",09. Total final consumption (ktoe),0,0,0,0,0,9.72,11.88,3.24,1.08,1.08,2.16,2.16,2.16,3.24,3.24,3.129,4.172,3.122,3.115,4.484,0,2.038,3.056,3.056,3.229,0,0,0,0,0,0,0,3.101,3.101,16.54,16.54,17.574,16.54,15.507,13.439,14.473,14.473,14.473,15.507,15.507,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Industry (ktoe),01. Australia,"02. Crude,NGL and feedstocks",10. Industry (ktoe),0,0,0,0,0,9.72,11.88,3.24,1.08,1.08,2.16,2.16,2.16,3.24,3.24,3.129,4.172,3.122,3.115,4.484,0,2.038,3.056,3.056,3.229,0,0,0,0,0,0,0,3.101,3.101,16.54,16.54,17.574,16.54,15.507,13.439,14.473,14.473,14.473,15.507,15.507,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Transport (ktoe),01. Australia,"02. Crude,NGL and feedstocks",11. Transport (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",Other (ktoe),01. Australia,"02. Crude,NGL and feedstocks",12. Other (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",of which: Residential (ktoe),01. Australia,"02. Crude,NGL and feedstocks",12.1. of which: Residential (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,"Crude,NGL and feedstocks",of which: Commerce and public services (ktoe),01. Australia,"02. Crude,NGL and feedstocks",12.2. of which: Commerce and public services (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,Oil products,Production (ktoe),01. Australia,03. Oil products,01. Production (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2018-04-07 11:40:33.896072
Australia,Oil products,Imports (ktoe),01. Australia,03. Oil products,02. Imports (ktoe),3227.859,3424.508,3658.109,4364.816,3222.511,3643.458,3681.774,3525.299,3926.495,4225.256,3728.781,2641.38,2465.289,2257.739,2485.753,2639.156,3735.438,3073.008,3731.241,4187.941,2771.078,2225.874,2866.662,2944.834,3250.597,3279.875,3816.242,2999.938,3649.393,4068.198,4231.117,4091.027,4879.755,8994.53,9718.565,11957.282,10984.836,14388.187,15598.307,15941.843,14908.465,18258.536,20131.045,20792.954,23176.956,27122.982,2018-04-07 11:40:33.896072
Australia,Oil products,Exports (ktoe),01. Australia,03. Oil products,03. Exports (ktoe),-1925.666,-2042.089,-3366.777,-2739.696,-3243.747,-3222.062,-3446.042,-3866.282,-3555.637,-3380.947,-3307.934,-3272.514,-3518.771,-4267.947,-3532.294,-3918.773,-3654.87,-4176.158,-3690.73,-3446.496,-3590.429,-3307.368,-3229.839,-2961.756,-2856.573,-3505.276,-4345.608,-4213.564,-3555.016,-3463.146,-3853.769,-4882.667,-4582.299,-3860.679,-3296.236,-3507.337,-3206.595,-3125.42,-2543.89,-2437.656,-2190.953,-2330.79,-2290.434,-2082.934,-1880.852,-1597.664,2018-04-07 11:40:33.896072
Australia,Oil products,Total primary energy supply (ktoe),01. Australia,03. Oil products,04. Total primary energy supply (ktoe),-964.233,-664.19,-2182.457,-772.688,-2215.446,-1735.684,-2113.71,-1528.494,-1754.97,-1581.009,-1782.466,-1900.642,-3074.58,-2780.369,-2633.329,-2436.553,-1943.439,-2651.906,-1938.566,-1873.063,-2891.201,-3082.856,-2992.665,-2386.479,-2732.306,-2743.988,-3654.099,-4443.709,-3068.854,-2424.735,-3124.995,-3506.836,-2389.718,1619.437,2940.418,4415.508,3870.29,7411.754,8967.104,9705.283,8873.839,11431.427,13530.35,14425.127,16413.712,20036.596,2018-04-07 11:40:33.896072
