Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-08-11,23:15,65.8,49.1,54.7,0.0,0,NW,1.7,2.8,0.0,77.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,23:30,64.3,49.4,58.2,0.0,0,W,4.0,5.3,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,23:45,64.6,49.8,58.6,0.0,0,W,3.4,4.9,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,24:00,61.1,50.2,67.5,0.0,0,W,2.6,5.7,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,00:15,61.0,50.3,67.7,0.0,0,W,4.6,6.0,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,00:30,62.2,50.0,64.2,0.0,0,W,4.4,5.7,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,00:45,59.8,49.9,69.7,0.0,0,SW,2.9,4.9,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,01:00,59.8,50.2,70.3,0.0,0,SW,4.0,5.3,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,01:15,59.1,50.4,72.8,0.0,0,SW,3.0,4.9,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,01:30,58.7,50.5,74.2,0.0,0,W,4.2,6.0,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,01:45,59.1,49.4,70.1,0.0,0,SW,3.7,5.3,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,02:00,58.4,49.5,72.4,0.0,0,W,4.5,5.7,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,02:15,57.5,49.1,73.3,0.0,0,W,3.8,5.7,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,02:30,60.4,47.8,62.9,0.0,0,W,3.5,6.0,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,02:45,60.2,47.0,61.7,0.0,0,W,3.7,4.9,0.0,77.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,03:00,59.4,46.9,63.1,0.0,0,W,3.8,4.9,0.0,77.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-11,03:15,59.1,46.9,63.8,0.0,0,W,3.8,4.9,0.0,77.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
